student_id, name,surname,email,lecture,points, how_many_times_attended
2015-99339,ALI,DOGAN,a.dogan@ce1.marmara.edu.tr,CS101,52,2
2015-99339,ALI,DOGAN,a.dogan@ce1.marmara.edu.tr,CS231,82,1
2015-99339,ALI,DOGAN,a.dogan@ce1.marmara.edu.tr,CS102,44,2
2015-76912,NUR,YILDIRIM,n.yildirim@ce1.marmara.edu.tr,CS101,68,1
2015-06042,EMRE,CAN,e.can@ce1.marmara.edu.tr,CS101,72,1
2015-89191,CIGDEM,ESEN,c.esen@ce1.marmara.edu.tr,CS101,46,1
2015-67912,OKAN,KURT,o.kurt@ce1.marmara.edu.tr,CS101,51,2
2015-01075,UGUR,YILMAZ,u.yilmaz@ce1.marmara.edu.tr,CS101,26,1
2015-66350,HARUN,KARA,h.kara@ce1.marmara.edu.tr,CS231,35,2
2015-82541,ALI,KOC,a.koc@ce1.marmara.edu.tr,CS101,99,2
2015-59213,AYSE,ESEN,a.esen@ce1.marmara.edu.tr,CS101,97,1
2015-59213,AYSE,ESEN,a.esen@ce1.marmara.edu.tr,CS102,73,1
2015-59213,AYSE,ESEN,a.esen@ce1.marmara.edu.tr,CS231,72,1
2014-34804,AZRA,DOGAN,azradogan@ce1.marmara.edu.tr,CS231,75,2
2015-80398,ASLI,CAN,a.can@ce1.marmara.edu.tr,CS101,86,2
2014-54523,HUSEYIN,DOGAN,huseyindogan@ce1.marmara.edu.tr,CS231,37,1
2014-95152,ISMAIL,CELIK,ismailcelik@ce1.marmara.edu.tr,CS231,83,1
2014-50970,UMUT,ASLAN,umutaslan@ce1.marmara.edu.tr,CS101,52,1
2014-43567,CIGDEM,AYDOGAN,cigdemaydogan@ce1.marmara.edu.tr,CS231,95,2
2015-93347,BETUL,YILDIRIM,b.yildirim@ce1.marmara.edu.tr,CS101,35,1
2015-68318,AYLIN,YILMAZ,a.yilmaz@ce1.marmara.edu.tr,CS101,30,1
2014-56323,SIBEL,ARSLAN,sibelarslan@ce1.marmara.edu.tr,CS231,84,1
2014-56323,SIBEL,ARSLAN,sibelarslan@ce1.marmara.edu.tr,CS101,83,1
2015-89343,RABIA,ARSLAN,r.arslan@ce1.marmara.edu.tr,CS101,54,1
2015-07079,RABIA,KURT,r.kurt@ce1.marmara.edu.tr,CS101,76,1
2015-07079,RABIA,KURT,r.kurt@ce1.marmara.edu.tr,CS102,27,1
2015-20074,OKAN,YILDIRIM,o.yildirim@ce1.marmara.edu.tr,CS231,74,2
2015-01137,CAN,KURT,c.kurt@ce1.marmara.edu.tr,CS231,11,1
2014-17986,FATMA,KOC,fatmakoc@ce1.marmara.edu.tr,CS231,67,2
2015-93915,HASAN,CAN,h.can@ce1.marmara.edu.tr,CS101,25,1
2015-93915,HASAN,CAN,h.can@ce1.marmara.edu.tr,CS102,24,2
2015-93915,HASAN,CAN,h.can@ce1.marmara.edu.tr,CS231,61,1
2014-67819,CANAN,ILHAN,cananilhan@ce1.marmara.edu.tr,CS101,31,1
2014-57583,RABIA,SULEYMAN,rabiasuleyman@ce1.marmara.edu.tr,CS101,96,2
2014-44770,CIGDEM,HIKMET,cigdemhikmet@ce1.marmara.edu.tr,CS101,70,1
2015-53157,OZGUR,GUL,o.gul@ce1.marmara.edu.tr,CS231,58,1
2015-53157,OZGUR,GUL,o.gul@ce1.marmara.edu.tr,CS101,24,2
2014-99776,HILAL,PEK,hilalpek@ce1.marmara.edu.tr,CS101,47,2
2014-49633,SALIH,ASLAN,salihaslan@ce1.marmara.edu.tr,CS231,95,2
2014-49633,SALIH,ASLAN,salihaslan@ce1.marmara.edu.tr,CS101,84,2
2014-41498,OKAN,SULEYMAN,okansuleyman@ce1.marmara.edu.tr,CS101,71,2
2014-56837,SEMRA,OZER,semraozer@ce1.marmara.edu.tr,CS101,24,2
2014-56837,SEMRA,OZER,semraozer@ce1.marmara.edu.tr,CS102,40,1
2014-56837,SEMRA,OZER,semraozer@ce1.marmara.edu.tr,CS365,22,1
2015-88103,ALI,ILHAN,a.ilhan@ce1.marmara.edu.tr,CS101,61,1
2014-00861,OZGUR,OZKAN,ozgurozkan@ce1.marmara.edu.tr,CS101,42,1
2014-00861,OZGUR,OZKAN,ozgurozkan@ce1.marmara.edu.tr,CS102,53,2
2015-36363,FATMA,CAN,f.can@ce1.marmara.edu.tr,CS101,21,2
2014-97410,HILAL,OZDEMIR,hilalozdemir@ce1.marmara.edu.tr,CS231,65,1
2014-03757,GULSUM,YILDIRIM,gulsumyildirim@ce1.marmara.edu.tr,CS101,24,1
2014-03757,GULSUM,YILDIRIM,gulsumyildirim@ce1.marmara.edu.tr,CS231,57,1
2015-00642,AYLIN,OZDEMIR,a.ozdemir@ce1.marmara.edu.tr,CS231,11,1
2015-24623,BILGE,OZDEMIR,b.ozdemir@ce1.marmara.edu.tr,CS101,17,2
2014-54257,EMRE,KAYA,emrekaya@ce1.marmara.edu.tr,CS231,18,2
2015-03771,HASAN,FATIH,h.fatih@ce1.marmara.edu.tr,CS101,31,1
2015-10358,TUNA,YILDIRIM,t.yildirim@ce1.marmara.edu.tr,CS101,100,2
2015-10358,TUNA,YILDIRIM,t.yildirim@ce1.marmara.edu.tr,CS231,80,2
2014-70267,FATMA,FATIH,fatmafatih@ce1.marmara.edu.tr,CS101,48,2
2014-74913,OKAN,PEK,okanpek@ce1.marmara.edu.tr,CS231,99,2
2014-74913,OKAN,PEK,okanpek@ce1.marmara.edu.tr,CS101,99,1
2015-75677,VELI,FATIH,v.fatih@ce1.marmara.edu.tr,CS231,56,2
2015-77604,HUSEYIN,ASLAN,h.aslan@ce1.marmara.edu.tr,CS101,43,1
2014-89938,OKAN,ARSLAN,okanarslan@ce1.marmara.edu.tr,CS231,62,2
2014-13330,AYLIN,GUL,aylingul@ce1.marmara.edu.tr,CS101,31,2
2014-97305,BILGE,AKTAS,bilgeaktas@ce1.marmara.edu.tr,CS231,23,1
2015-94560,OKAN,ILHAN,o.ilhan@ce1.marmara.edu.tr,CS231,49,1
2015-68282,ISMAIL,GURCAN,i.gurcan@ce1.marmara.edu.tr,CS101,62,2
2015-68282,ISMAIL,GURCAN,i.gurcan@ce1.marmara.edu.tr,CS231,60,2
2015-73270,CIGDEM,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS101,44,1
2014-88683,NUR,DILER,nurdiler@ce1.marmara.edu.tr,CS231,94,1
2014-57802,MUSTAFA,OZKAN,mustafaozkan@ce1.marmara.edu.tr,CS231,40,1
2014-52346,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS101,73,2
2014-52346,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS102,49,1
2014-52346,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS464,75,2
2014-52346,SEMRA,GUL,semragul@ce1.marmara.edu.tr,CS365,97,2
2015-49252,ISMAIL,FATIH,i.fatih@ce1.marmara.edu.tr,CS231,53,2
2015-02691,UGUR,ASLAN,u.aslan@ce1.marmara.edu.tr,CS231,56,2
2014-73166,BILGE,OZER,bilgeozer@ce1.marmara.edu.tr,CS231,88,2
2014-76794,NURAY,ASLAN,nurayaslan@ce1.marmara.edu.tr,CS101,84,1
2014-76794,NURAY,ASLAN,nurayaslan@ce1.marmara.edu.tr,CS231,87,2
2014-33004,SALIH,KARA,salihkara@ce1.marmara.edu.tr,CS101,29,1
2014-33004,SALIH,KARA,salihkara@ce1.marmara.edu.tr,CS231,77,2
2014-26506,AYLIN,GUL,aylingul@ce1.marmara.edu.tr,CS101,63,2
2014-27763,UGUR,FATIH,ugurfatih@ce1.marmara.edu.tr,CS101,73,2
2015-75380,SIBEL,YILDIRIM,s.yildirim@ce1.marmara.edu.tr,CS101,46,2
2015-75996,AZRA,HIKMET,a.hikmet@ce1.marmara.edu.tr,CS231,18,1
2014-54606,MUSTAFA,YILDIRIM,mustafayildirim@ce1.marmara.edu.tr,CS101,10,2
2014-63804,FATMA,AYDIN,fatmaaydin@ce1.marmara.edu.tr,CS231,64,2
2014-63804,FATMA,AYDIN,fatmaaydin@ce1.marmara.edu.tr,CS101,95,1
2015-25588,AZRA,CELIK,a.celik@ce1.marmara.edu.tr,CS231,15,1
2015-25588,AZRA,CELIK,a.celik@ce1.marmara.edu.tr,CS101,42,2
2015-03792,HUSEYIN,FATIH,h.fatih@ce1.marmara.edu.tr,CS231,64,2
2015-08768,ASLI,GURCAN,a.gurcan@ce1.marmara.edu.tr,CS231,66,2
2014-32168,EMRE,SIMSEK,emresimsek@ce1.marmara.edu.tr,CS231,69,1
2015-99201,CAN,YILMAZ,c.yilmaz@ce1.marmara.edu.tr,CS231,27,1
2015-78421,HILAL,DOGAN,h.dogan@ce1.marmara.edu.tr,CS231,39,1
2015-93767,ALI,HIKMET,a.hikmet@ce1.marmara.edu.tr,CS231,60,1
2015-09223,NURAY,ILHAN,n.ilhan@ce1.marmara.edu.tr,CS231,85,1
2014-64337,SEMRA,YILMAZ,semrayilmaz@ce1.marmara.edu.tr,CS231,32,2
2014-37159,FIKRET,ESEN,fikretesen@ce1.marmara.edu.tr,CS231,44,2
2015-69446,NURAY,HIKMET,n.hikmet@ce1.marmara.edu.tr,CS231,18,2
2015-42693,EGE,DILER,e.diler@ce1.marmara.edu.tr,CS231,51,2
2015-42693,EGE,DILER,e.diler@ce1.marmara.edu.tr,CS101,100,2
2015-58664,NISA,DOGAN,n.dogan@ce1.marmara.edu.tr,CS101,73,2
2015-58664,NISA,DOGAN,n.dogan@ce1.marmara.edu.tr,CS231,52,1
2015-58664,NISA,DOGAN,n.dogan@ce1.marmara.edu.tr,CS102,17,1
2015-81655,CAN,AKTAS,c.aktas@ce1.marmara.edu.tr,CS231,17,2
2014-79068,UMUT,KOC,umutkoc@ce1.marmara.edu.tr,CS231,17,1
2014-79068,UMUT,KOC,umutkoc@ce1.marmara.edu.tr,CS101,83,1
2015-61183,FIKRET,OZKAN,f.ozkan@ce1.marmara.edu.tr,CS231,45,2
2015-61183,FIKRET,OZKAN,f.ozkan@ce1.marmara.edu.tr,CS101,32,1
2015-61183,FIKRET,OZKAN,f.ozkan@ce1.marmara.edu.tr,CS102,97,2
2014-91949,ELIF,CAN,elifcan@ce1.marmara.edu.tr,CS231,83,2
2014-76986,AHMET,CAN,ahmetcan@ce1.marmara.edu.tr,CS231,27,2
2014-59476,LALE,DILER,lalediler@ce1.marmara.edu.tr,CS101,83,2
2014-59476,LALE,DILER,lalediler@ce1.marmara.edu.tr,CS231,99,2
2015-38042,ELIF,GURCAN,e.gurcan@ce1.marmara.edu.tr,CS231,74,2
2014-58593,HUSEYIN,PEK,huseyinpek@ce1.marmara.edu.tr,CS231,39,1
2014-58593,HUSEYIN,PEK,huseyinpek@ce1.marmara.edu.tr,CS101,89,1
2014-51871,FATMA,AYDIN,fatmaaydin@ce1.marmara.edu.tr,CS231,52,2
2014-51871,FATMA,AYDIN,fatmaaydin@ce1.marmara.edu.tr,CS101,13,1
2015-84440,AYSE,ISIK,a.isik@ce1.marmara.edu.tr,CS101,39,1
2015-92977,ELIF,SIMSEK,e.simsek@ce1.marmara.edu.tr,CS101,83,2
2015-92977,ELIF,SIMSEK,e.simsek@ce1.marmara.edu.tr,CS102,49,2
2015-92977,ELIF,SIMSEK,e.simsek@ce1.marmara.edu.tr,CS231,21,2
2015-73439,ASLI,OZER,a.ozer@ce1.marmara.edu.tr,CS231,33,1
2015-90665,EGE,AYDOGAN,e.aydogan@ce1.marmara.edu.tr,CS101,49,1
2014-80562,VELI,YILMAZ,veliyilmaz@ce1.marmara.edu.tr,CS231,86,1
2015-96911,OKAN,KAYA,o.kaya@ce1.marmara.edu.tr,CS101,93,2
2015-96911,OKAN,KAYA,o.kaya@ce1.marmara.edu.tr,CS231,69,2
2015-80619,LALE,FATIH,l.fatih@ce1.marmara.edu.tr,CS231,85,2
2015-94508,HARUN,AY,h.ay@ce1.marmara.edu.tr,CS231,54,2
2014-11481,AYSE,KOC,aysekoc@ce1.marmara.edu.tr,CS231,33,2
2014-11481,AYSE,KOC,aysekoc@ce1.marmara.edu.tr,CS101,100,2
2014-77834,LALE,SIMSEK,lalesimsek@ce1.marmara.edu.tr,CS101,54,1
2014-77834,LALE,SIMSEK,lalesimsek@ce1.marmara.edu.tr,CS102,34,1
2014-77834,LALE,SIMSEK,lalesimsek@ce1.marmara.edu.tr,CS464,34,1
2014-82735,CIGDEM,HIKMET,cigdemhikmet@ce1.marmara.edu.tr,CS231,67,1
2015-15665,UMUT,GURCAN,u.gurcan@ce1.marmara.edu.tr,CS101,85,2
2015-15665,UMUT,GURCAN,u.gurcan@ce1.marmara.edu.tr,CS231,29,2
2014-89436,UMUT,SIMSEK,umutsimsek@ce1.marmara.edu.tr,CS101,73,2
2014-72395,HUSEYIN,SULEYMAN,huseyinsuleyman@ce1.marmara.edu.tr,CS231,86,2
2014-65348,LALE,ILHAN,laleilhan@ce1.marmara.edu.tr,CS101,10,2
2014-42134,BETUL,OZDEMIR,betulozdemir@ce1.marmara.edu.tr,CS231,40,2
2015-52900,HILAL,OZDEMIR,h.ozdemir@ce1.marmara.edu.tr,CS231,70,1
2015-93527,EFE,SULEYMAN,e.suleyman@ce1.marmara.edu.tr,CS231,30,2
2015-71662,NISA,YILDIRIM,n.yildirim@ce1.marmara.edu.tr,CS231,72,2
2014-35679,MEHMET,KURT,mehmetkurt@ce1.marmara.edu.tr,CS231,95,1
2014-35679,MEHMET,KURT,mehmetkurt@ce1.marmara.edu.tr,CS101,61,1
2015-97927,OKAN,HIKMET,o.hikmet@ce1.marmara.edu.tr,CS101,94,1
2015-97927,OKAN,HIKMET,o.hikmet@ce1.marmara.edu.tr,CS102,62,2
2014-44804,ELIF,ESEN,elifesen@ce1.marmara.edu.tr,CS101,88,1
2015-13624,ASLI,OZER,a.ozer@ce1.marmara.edu.tr,CS231,42,2
2014-42122,RABIA,GUL,rabiagul@ce1.marmara.edu.tr,CS231,74,1
2014-27827,MUSTAFA,ESEN,mustafaesen@ce1.marmara.edu.tr,CS101,34,2
2014-27827,MUSTAFA,ESEN,mustafaesen@ce1.marmara.edu.tr,CS102,75,1
2014-01897,NISA,KURT,nisakurt@ce1.marmara.edu.tr,CS101,63,2
2014-01897,NISA,KURT,nisakurt@ce1.marmara.edu.tr,CS102,44,1
2015-24447,OKAN,OZDEMIR,o.ozdemir@ce1.marmara.edu.tr,CS231,45,1
2015-67411,HARUN,ARSLAN,h.arslan@ce1.marmara.edu.tr,CS101,18,1
2015-67411,HARUN,ARSLAN,h.arslan@ce1.marmara.edu.tr,CS102,33,1
